%Arkansas hybrid precipitation index. alpha = 0; beta = 0; lagmax = 100
%year,month,tau=3,tau=10,tau=20,tau=36
1988,5,-1.03,-0.27,-0.15,-0.10
1988,6,-1.46,-0.49,-0.26,-0.17
1988,7,-0.61,-0.29,-0.17,-0.12
1988,8,-0.61,-0.32,-0.20,-0.13
1988,9,-0.49,-0.31,-0.20,-0.13
1988,10,-0.32,-0.27,-0.18,-0.13
1988,11,1.12,0.21,0.06,0.02
1988,12,0.55,0.10,0.02,0.00
1989,1,0.63,0.17,0.06,0.03
1989,2,1.80,0.61,0.29,0.16
1989,3,1.56,0.64,0.32,0.18
1989,4,0.32,0.31,0.17,0.10
1989,5,0.55,0.39,0.21,0.13
1989,6,1.19,0.62,0.34,0.22
1989,7,1.67,0.84,0.47,0.29
1989,8,0.80,0.62,0.38,0.25
1989,9,0.50,0.54,0.35,0.24
1989,10,-0.35,0.25,0.21,0.15
1989,11,-1.07,-0.05,0.05,0.06
1989,12,-1.52,-0.30,-0.08,-0.02
1990,1,-0.37,-0.03,0.05,0.06
1990,2,0.62,0.27,0.20,0.15
1990,3,1.57,0.62,0.38,0.26
1990,4,1.47,0.68,0.43,0.29
1990,5,2.23,1.01,0.61,0.41
1990,6,1.25,0.80,0.52,0.36
1990,7,0.46,0.57,0.42,0.31
1990,8,0.07,0.43,0.35,0.27
1990,9,0.12,0.41,0.35,0.27
1990,10,0.91,0.65,0.47,0.35
1990,11,0.41,0.51,0.41,0.31
1990,12,1.08,0.73,0.53,0.39
1991,1,1.02,0.74,0.54,0.40
1991,2,0.71,0.66,0.51,0.39
1991,3,0.15,0.48,0.43,0.35
1991,4,2.19,1.13,0.76,0.55
1991,5,1.62,1.04,0.73,0.52
1991,6,0.85,0.84,0.65,0.48
1991,7,0.41,0.69,0.58,0.45
1991,8,0.42,0.67,0.57,0.45
1991,9,0.22,0.58,0.53,0.43
1991,10,1.11,0.84,0.67,0.51
1991,11,0.95,0.82,0.66,0.51
1991,12,1.15,0.90,0.71,0.55
1992,1,0.45,0.69,0.62,0.50
1992,2,0.17,0.57,0.56,0.47
1992,3,0.21,0.55,0.55,0.47
1992,4,-0.50,0.27,0.41,0.39
1992,5,-0.93,0.06,0.29,0.32
1992,6,0.19,0.34,0.42,0.40
1992,7,0.60,0.46,0.48,0.44
1992,8,0.27,0.36,0.43,0.41
1992,9,0.37,0.39,0.44,0.41
1992,10,-0.37,0.14,0.31,0.33
1992,11,-0.04,0.20,0.33,0.35
1992,12,0.06,0.21,0.33,0.35
1993,1,0.34,0.29,0.37,0.37
1993,2,0.00,0.18,0.31,0.33
1993,3,-0.45,0.01,0.21,0.26
1993,4,-0.03,0.11,0.25,0.28
1993,5,-0.10,0.07,0.23,0.27
1993,6,-0.02,0.09,0.22,0.27
1993,7,-0.71,-0.16,0.09,0.19
1993,8,-0.41,-0.11,0.11,0.19
1993,9,0.10,0.03,0.17,0.23
1993,10,0.55,0.19,0.24,0.27
1993,11,0.62,0.25,0.27,0.29
1993,12,0.50,0.25,0.27,0.29
1994,1,0.84,0.38,0.34,0.33
1994,2,0.62,0.35,0.33,0.32
1994,3,0.51,0.34,0.32,0.32
1994,4,0.17,0.25,0.27,0.29
1994,5,-0.27,0.09,0.19,0.24
1994,6,-0.16,0.09,0.19,0.24
1994,7,0.66,0.34,0.31,0.32
1994,8,0.43,0.30,0.29,0.31
1994,9,-0.13,0.12,0.20,0.25
1994,10,-0.08,0.11,0.19,0.25
1994,11,0.66,0.34,0.31,0.31
1994,12,0.54,0.33,0.30,0.31
1995,1,0.77,0.43,0.35,0.34
1995,2,0.05,0.22,0.25,0.28
1995,3,-0.38,0.06,0.17,0.23
1995,4,0.04,0.16,0.21,0.25
1995,5,-0.11,0.10,0.18,0.24
1995,6,-0.15,0.06,0.16,0.22
1995,7,-0.01,0.09,0.17,0.22
1995,8,-0.57,-0.11,0.06,0.16
1995,9,-0.73,-0.20,0.00,0.13
1995,10,-0.93,-0.32,-0.07,0.09
1995,11,-1.18,-0.46,-0.15,0.03
1995,12,-0.89,-0.43,-0.15,0.03
1996,1,-0.90,-0.48,-0.19,0.00
1996,2,-1.26,-0.64,-0.29,-0.06
1996,3,-1.27,-0.70,-0.34,-0.10
1996,4,-1.02,-0.68,-0.34,-0.11
1996,5,-1.17,-0.76,-0.40,-0.16
1996,6,-0.72,-0.65,-0.36,-0.15
1996,7,-0.07,-0.43,-0.27,-0.09
1996,8,-0.11,-0.41,-0.26,-0.10
1996,9,0.58,-0.15,-0.14,-0.03
