%year,month,precipitation anomalies, PDSI
1985,8,0.014928,-0.95
1985,9,-0.42826,-0.94
1985,10,1.81,0.49
1985,11,1.5243,0.85
1985,12,-1.3349,-0.21
1986,1,-3.2872,-1.13
1986,2,-0.62087,-1.33
1986,3,-2.277,-1.96
1986,4,1.4839,0.38
1986,5,-0.80783,0.14
1986,6,2.0686,0.74
1986,7,-2.5452,-0.67
1986,8,0.80493,-0.37
1986,9,-0.50826,-0.59
1986,10,1.34,0.43
1986,11,1.3243,0.85
1986,12,-1.1049,0.57
1987,1,-1.3172,0.14
1987,2,2.7591,0.88
1987,3,-1.187,-0.38
1987,4,-3.7561,-1.34
1987,5,-0.26783,-1.59
1987,6,-0.51145,-1.62
1987,7,-0.66522,-1.68
1987,8,-0.63507,-1.93
1987,9,-0.42826,-1.86
1987,10,-1.31,-1.89
1987,11,4.2743,1.01
1987,12,5.6251,2.6
1988,1,-1.1372,-0.29
1988,2,-0.94087,-0.58
1988,3,0.30304,-0.4
1988,4,-1.3661,-0.68
1988,5,-3.5378,-1.49
1988,6,-2.5514,-2.23
1988,7,1.5448,-1.8
1988,8,-0.59507,-2.04
1988,9,-0.19826,-1.94
1988,10,0.11,0.17
1988,11,4.7543,1.39
1988,12,-0.87493,1.1
1989,1,0.83275,1.12
1989,2,4.7591,2.51
1989,3,0.96304,2.55
1989,4,-2.8361,1.51
1989,5,1.1322,1.71
1989,6,2.7986,2.53
1989,7,2.8948,3.62
1989,8,-1.3951,3.3
1989,9,-0.25826,3.16
1989,10,-2.5,-0.53
1989,11,-2.8757,-1.3
1989,12,-2.6849,-1.96
1990,1,2.5328,0.39
1990,2,3.1191,1.14
1990,3,3.973,2.15
1990,4,1.2139,2.35
1990,5,4.1522,3.37
1990,6,-1.2214,2.59
1990,7,-1.5452,1.79
1990,8,-0.92507,1.15
1990,9,0.24174,0.97
1990,10,2.91,1.81
1990,11,-0.84565,1.48
1990,12,2.7851,2.23
1991,1,0.85275,2.24
1991,2,-0.07087,1.87
1991,3,-1.277,1.2
1991,4,7.3539,3.11
1991,5,0.19217,2.72
1991,6,-1.0914,2.06
1991,7,-0.69522,1.53
1991,8,0.44493,1.48
1991,9,-0.28826,1.3
1991,10,3.37,2.15
1991,11,0.54435,2.37
1991,12,1.6651,2.66
1992,1,-1.3172,-0.4
1992,2,-0.53087,-0.69
1992,3,0.31304,-0.57
1992,4,-2.3161,-1.12
1992,5,-1.9978,-1.41
1992,6,3.0186,1.06
1992,7,1.6248,1.82
1992,8,-0.56507,2.03
1992,9,0.64174,2.31
1992,10,-2.25,1.72
1992,11,0.78435,1.86
1992,12,0.33507,1.87
1993,1,1.0328,1.94
1993,2,-0.84087,-0.28
1993,3,-1.607,-0.67
1993,4,1.0339,0.5
1993,5,-0.26783,0.49
1993,6,0.18855,0.52
1993,7,-2.4652,-0.84
1993,8,0.35493,-1.02
1993,9,1.3917,0.48
1993,10,1.69,1.14
1993,11,0.80435,1.5
1993,12,0.20507,1.51
1994,1,1.7028,1.82
1994,2,0.05913,1.61
1994,3,0.23304,1.49
1994,4,-0.67609,1.1
1994,5,-1.4078,0.77
1994,6,0.12855,0.64
1994,7,2.7248,1.69
1994,8,-0.14507,1.9
1994,9,-1.5483,1.49
1994,10,0.04,1.49
1994,11,2.5243,2.01
1994,12,0.23507,1.94
1995,1,1.3428,2.06
1995,2,-1.7609,-0.62
1995,3,-1.457,-1.07
1995,4,1.1039,-0.58
1995,5,-0.47783,-0.59
1995,6,-0.26145,-0.51
1995,7,0.35478,-0.19
1995,8,-2.0051,-0.9
1995,9,-1.1183,-1.08
1995,10,-1.45,-1.39
1995,11,-1.7957,-1.83
1995,12,-0.15493,-1.83
1996,1,-0.92725,-1.91
1996,2,-2.1809,-2.47
1996,3,-1.287,-2.45
1996,4,-0.40609,-2.18
1996,5,-1.5278,-2.49
1996,6,0.40855,0.13
1996,7,1.5748,0.8
1996,8,-0.22507,0.92
1996,9,2.3417,1.76
1996,10,0.15,1.96
1996,11,4.2743,3.23
1996,12,-0.96493,2.69
1997,1,-0.80725,2.18
1997,2,2.2091,2.54
1997,3,1.223,2.53
1997,4,2.7939,3.27
1997,5,-1.4578,2.71
1997,6,1.1386,2.9
1997,7,-1.8752,2.22
1997,8,-0.075072,2
1997,9,-0.84826,1.54
