%Arkansas hybrid precipitation index. alpha = 0; beta = 0; lagmax = 100
%year,month,tau=3,tau=10,tau=20,tau=36
1988,11,0.35,-0.19,-0.29,-0.25
1988,12,-0.43,-0.40,-0.40,-0.32
1989,1,-0.57,-0.45,-0.42,-0.34
1989,2,-0.87,-0.57,-0.48,-0.37
1989,3,-0.23,-0.38,-0.39,-0.32
1989,4,-0.21,-0.36,-0.38,-0.32
1989,5,-0.05,-0.29,-0.34,-0.29
1989,6,-0.28,-0.35,-0.37,-0.31
1989,7,-0.23,-0.32,-0.36,-0.31
1989,8,-0.03,-0.25,-0.32,-0.29
1989,9,-0.45,-0.37,-0.37,-0.32
1989,10,-0.53,-0.40,-0.39,-0.34
1989,11,-0.41,-0.37,-0.38,-0.33
1989,12,-1.13,-0.62,-0.50,-0.41
1990,1,0.02,-0.28,-0.34,-0.31
1990,2,0.38,-0.13,-0.26,-0.27
1990,3,-0.20,-0.28,-0.33,-0.31
1990,4,-0.18,-0.26,-0.32,-0.30
1990,5,0.13,-0.15,-0.26,-0.27
1990,6,0.35,-0.05,-0.20,-0.24
1990,7,0.24,-0.05,-0.19,-0.24
1990,8,0.39,0.03,-0.15,-0.21
1990,9,-0.19,-0.13,-0.22,-0.25
1990,10,0.52,0.10,-0.10,-0.17
1990,11,1.26,0.39,0.06,-0.08
1990,12,0.58,0.24,0.00,-0.11
1991,1,-0.03,0.07,-0.07,-0.15
1991,2,0.12,0.11,-0.05,-0.14
1991,3,0.02,0.08,-0.05,-0.14
1991,4,0.46,0.22,0.02,-0.09
1991,5,0.46,0.24,0.05,-0.08
1991,6,0.50,0.28,0.07,-0.06
1991,7,0.29,0.23,0.06,-0.07
1991,8,0.41,0.27,0.09,-0.04
1991,9,-0.16,0.09,0.01,-0.09
1991,10,-0.74,-0.12,-0.10,-0.15
1991,11,-0.17,0.01,-0.04,-0.11
1991,12,-0.72,-0.19,-0.14,-0.17
1992,1,-0.30,-0.10,-0.09,-0.15
1992,2,-0.47,-0.18,-0.13,-0.17
1992,3,-1.29,-0.48,-0.29,-0.27
1992,4,-0.58,-0.32,-0.22,-0.22
1992,5,-0.92,-0.46,-0.30,-0.27
1992,6,-0.60,-0.40,-0.27,-0.25
1992,7,-0.20,-0.28,-0.22,-0.22
1992,8,-0.24,-0.28,-0.22,-0.23
1992,9,-0.08,-0.23,-0.20,-0.22
1992,10,-0.46,-0.34,-0.26,-0.25
1992,11,-0.40,-0.33,-0.26,-0.25
1992,12,-0.70,-0.44,-0.32,-0.29
1993,1,-1.11,-0.60,-0.41,-0.34
1993,2,-1.87,-0.91,-0.57,-0.44
1993,3,-1.46,-0.86,-0.57,-0.45
1993,4,-0.45,-0.58,-0.43,-0.37
1993,5,-0.13,-0.46,-0.38,-0.33
1993,6,0.16,-0.33,-0.32,-0.30
1993,7,0.59,-0.14,-0.22,-0.24
1993,8,0.34,-0.15,-0.22,-0.24
1993,9,-0.18,-0.28,-0.28,-0.27
1993,10,-0.74,-0.46,-0.38,-0.33
1993,11,-1.65,-0.79,-0.55,-0.43
1993,12,-1.39,-0.78,-0.56,-0.44
1994,1,-1.59,-0.91,-0.64,-0.49
1994,2,-0.96,-0.76,-0.57,-0.47
1994,3,-1.02,-0.80,-0.60,-0.48
1994,4,-0.78,-0.74,-0.58,-0.47
1994,5,-0.65,-0.70,-0.57,-0.47
1994,6,-0.40,-0.61,-0.53,-0.45
1994,7,-0.40,-0.59,-0.52,-0.45
1994,8,-0.49,-0.60,-0.53,-0.45
1994,9,-0.48,-0.59,-0.53,-0.46
1994,10,0.12,-0.38,-0.42,-0.39
1994,11,0.33,-0.26,-0.36,-0.36
1994,12,0.57,-0.12,-0.28,-0.31
1995,1,0.45,-0.10,-0.26,-0.30
1995,2,0.36,-0.08,-0.24,-0.29
1995,3,0.45,0.00,-0.20,-0.26
1995,4,0.33,0.00,-0.19,-0.25
1995,5,-0.01,-0.08,-0.22,-0.27
1995,6,0.07,-0.05,-0.20,-0.25
1995,7,0.15,-0.01,-0.17,-0.23
1995,8,0.25,0.04,-0.14,-0.21
1995,9,0.20,0.04,-0.13,-0.20
1995,10,0.47,0.15,-0.06,-0.16
1995,11,1.70,0.59,0.18,-0.02
1995,12,1.35,0.58,0.19,0.00
1996,1,1.15,0.59,0.21,0.02
1996,2,1.70,0.82,0.36,0.11
1996,3,0.58,0.53,0.23,0.05
1996,4,1.14,0.72,0.34,0.12
1996,5,1.13,0.76,0.38,0.15
1996,6,0.60,0.62,0.33,0.13
1996,7,0.37,0.54,0.30,0.12
1996,8,0.12,0.44,0.26,0.10
1996,9,0.17,0.42,0.26,0.10
1996,10,0.68,0.57,0.35,0.16
1996,11,0.67,0.58,0.36,0.17
1996,12,1.91,1.00,0.59,0.32
1997,1,1.72,1.02,0.62,0.34
1997,2,0.97,0.84,0.55,0.31
1997,3,1.76,1.12,0.70,0.41
1997,4,1.53,1.10,0.72,0.43
1997,5,1.20,1.03,0.70,0.43
1997,6,1.15,1.03,0.72,0.45
1997,7,1.03,1.00,0.72,0.46
1997,8,0.73,0.90,0.68,0.44
1997,9,1.10,1.01,0.75,0.49
1997,10,1.61,1.19,0.85,0.56
1997,11,0.60,0.89,0.72,0.49
1997,12,-0.23,0.59,0.57,0.41
1998,1,0.39,0.72,0.64,0.46
1998,2,0.28,0.65,0.61,0.45
1998,3,0.08,0.55,0.56,0.42
1998,4,-0.34,0.36,0.46,0.37
1998,5,0.12,0.45,0.50,0.40
1998,6,0.01,0.38,0.46,0.37
1998,7,0.04,0.36,0.45,0.37
1998,8,-0.23,0.24,0.38,0.33
1998,9,-0.50,0.10,0.30,0.29
1998,10,-0.67,-0.01,0.23,0.25
1998,11,0.58,0.34,0.41,0.35
1998,12,1.40,0.64,0.56,0.44
1999,1,1.37,0.70,0.59,0.47
1999,2,2.48,1.14,0.82,0.61
1999,3,1.79,1.03,0.78,0.58
1999,4,0.83,0.79,0.67,0.52
1999,5,0.63,0.72,0.64,0.52
1999,6,0.44,0.65,0.61,0.50
1999,7,0.33,0.59,0.58,0.49
1999,8,0.29,0.55,0.56,0.48
